"Notes"	"Year"	"Year Code"	"Month"	"Month Code"	"Weekday"	"Weekday Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Oct., 1999"	"1999/10"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Sunday"	"1"	319	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Monday"	"2"	419	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Tuesday"	"3"	441	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Wednesday"	"4"	319	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Thursday"	"5"	274	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Friday"	"6"	284	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Saturday"	"7"	293	Not Applicable	Not Applicable
	"1999"	"1999"	"Nov., 1999"	"1999/11"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Sunday"	"1"	283	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Monday"	"2"	291	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Tuesday"	"3"	304	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Wednesday"	"4"	360	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Thursday"	"5"	336	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Friday"	"6"	359	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Saturday"	"7"	240	Not Applicable	Not Applicable
	"1999"	"1999"	"Dec., 1999"	"1999/12"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Sunday"	"1"	372	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Monday"	"2"	431	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Tuesday"	"3"	350	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Wednesday"	"4"	297	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Thursday"	"5"	299	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Friday"	"6"	336	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Saturday"	"7"	399	Not Applicable	Not Applicable
	"2000"	"2000"	"Jan., 2000"	"2000/01"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Sunday"	"1"	324	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Monday"	"2"	328	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Tuesday"	"3"	418	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Wednesday"	"4"	290	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Thursday"	"5"	303	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Friday"	"6"	285	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Saturday"	"7"	301	Not Applicable	Not Applicable
	"2000"	"2000"	"Feb., 2000"	"2000/02"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Sunday"	"1"	314	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Monday"	"2"	334	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Tuesday"	"3"	298	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Wednesday"	"4"	396	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Thursday"	"5"	379	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Friday"	"6"	389	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Saturday"	"7"	313	Not Applicable	Not Applicable
	"2000"	"2000"	"Mar., 2000"	"2000/03"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Sunday"	"1"	383	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Monday"	"2"	348	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Tuesday"	"3"	298	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Wednesday"	"4"	333	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Thursday"	"5"	315	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Friday"	"6"	309	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Saturday"	"7"	392	Not Applicable	Not Applicable
	"2000"	"2000"	"Apr., 2000"	"2000/04"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	"Sunday"	"1"	302	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	"Monday"	"2"	467	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	"Tuesday"	"3"	457	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	"Wednesday"	"4"	387	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	"Thursday"	"5"	303	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	"Friday"	"6"	317	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	"Saturday"	"7"	286	Not Applicable	Not Applicable
	"2000"	"2000"	"May, 2000"	"2000/05"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Sunday"	"1"	294	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Monday"	"2"	329	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Tuesday"	"3"	328	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Wednesday"	"4"	342	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Thursday"	"5"	356	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Friday"	"6"	409	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Saturday"	"7"	315	Not Applicable	Not Applicable
	"2000"	"2000"	"Jun., 2000"	"2000/06"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Sunday"	"1"	373	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Monday"	"2"	439	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Tuesday"	"3"	323	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Wednesday"	"4"	321	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Thursday"	"5"	329	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Friday"	"6"	283	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Saturday"	"7"	350	Not Applicable	Not Applicable
	"2000"	"2000"	"Jul., 2000"	"2000/07"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Sunday"	"1"	311	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Monday"	"2"	338	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Tuesday"	"3"	442	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Wednesday"	"4"	402	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Thursday"	"5"	362	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Friday"	"6"	277	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Saturday"	"7"	330	Not Applicable	Not Applicable
	"2000"	"2000"	"Aug., 2000"	"2000/08"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Sunday"	"1"	260	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Monday"	"2"	313	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Tuesday"	"3"	341	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Wednesday"	"4"	309	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Thursday"	"5"	303	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Friday"	"6"	378	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Saturday"	"7"	348	Not Applicable	Not Applicable
	"2000"	"2000"	"Sep., 2000"	"2000/09"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Sunday"	"1"	374	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Monday"	"2"	404	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Tuesday"	"3"	370	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Wednesday"	"4"	314	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Thursday"	"5"	308	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Friday"	"6"	281	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Saturday"	"7"	315	Not Applicable	Not Applicable
	"2000"	"2000"	"Oct., 2000"	"2000/10"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Sunday"	"1"	293	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Monday"	"2"	326	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Tuesday"	"3"	312	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Wednesday"	"4"	361	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Thursday"	"5"	354	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Friday"	"6"	283	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Saturday"	"7"	248	Not Applicable	Not Applicable
	"2000"	"2000"	"Nov., 2000"	"2000/11"	"Unknown"	"9"	0	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Sunday"	"1"	309	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Monday"	"2"	335	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Tuesday"	"3"	276	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Wednesday"	"4"	291	Not Applicable	Not Applicable
	"2000"	"2000"	"Dec., 2000"	"2000/12"	"Thursday"	"5"	281	Not Applicable	Not Applicable
